Time,Region,Good,value
2024,EUR,Plastic Waste,0.521521436280415
2024,NEU,Plastic Waste,0.117638983842743
2024,MEA,Plastic Waste,0.00632944469119393
2024,REF,Plastic Waste,0.00967501645088863
2024,CAZ,Plastic Waste,0.0257337324172005
2024,CHA,Plastic Waste,0.0409742115855552
2024,IND,Plastic Waste,0.0133862742699558
2024,JPN,Plastic Waste,0.00118805248962003
2024,USA,Plastic Waste,0.0529846062972336
2025,LAM,Plastic Waste,0.0357143416575803
2025,OAS,Plastic Waste,0.168890568589134
2025,SSA,Plastic Waste,0.0059633314284811
2025,EUR,Plastic Waste,0.521521436280415
2025,NEU,Plastic Waste,0.117638983842743
2025,MEA,Plastic Waste,0.00632944469119393
2025,REF,Plastic Waste,0.00967501645088863
2025,CAZ,Plastic Waste,0.0257337324172005
2025,CHA,Plastic Waste,0.0409742115855552
2025,IND,Plastic Waste,0.0133862742699558
2025,JPN,Plastic Waste,0.00118805248962003
2025,USA,Plastic Waste,0.0529846062972336
2026,LAM,Plastic Waste,0.0357143416575803
2026,OAS,Plastic Waste,0.168890568589134
2026,SSA,Plastic Waste,0.0059633314284811
2026,EUR,Plastic Waste,0.521521436280415
2026,NEU,Plastic Waste,0.117638983842743
2026,MEA,Plastic Waste,0.00632944469119393
2026,REF,Plastic Waste,0.00967501645088863
2026,CAZ,Plastic Waste,0.0257337324172005
2026,CHA,Plastic Waste,0.0409742115855552
2026,IND,Plastic Waste,0.0133862742699558
2026,JPN,Plastic Waste,0.00118805248962003
2026,USA,Plastic Waste,0.0529846062972336
2027,LAM,Plastic Waste,0.0357143416575803
2027,OAS,Plastic Waste,0.168890568589134
2027,SSA,Plastic Waste,0.0059633314284811
2027,EUR,Plastic Waste,0.521521436280415
2027,NEU,Plastic Waste,0.117638983842743
2027,MEA,Plastic Waste,0.00632944469119393
2027,REF,Plastic Waste,0.00967501645088863
2027,CAZ,Plastic Waste,0.0257337324172005
2027,CHA,Plastic Waste,0.0409742115855552
2027,IND,Plastic Waste,0.0133862742699558
2027,JPN,Plastic Waste,0.00118805248962003
2027,USA,Plastic Waste,0.0529846062972336
2028,LAM,Plastic Waste,0.0357143416575803
2028,OAS,Plastic Waste,0.168890568589134
2028,SSA,Plastic Waste,0.0059633314284811
2028,EUR,Plastic Waste,0.521521436280415
2028,NEU,Plastic Waste,0.117638983842743
2028,MEA,Plastic Waste,0.00632944469119393
2028,REF,Plastic Waste,0.00967501645088863
2028,CAZ,Plastic Waste,0.0257337324172005
2028,CHA,Plastic Waste,0.0409742115855552
2028,IND,Plastic Waste,0.0133862742699558
2028,JPN,Plastic Waste,0.00118805248962003
2028,USA,Plastic Waste,0.0529846062972336
2029,LAM,Plastic Waste,0.0357143416575803
2029,OAS,Plastic Waste,0.168890568589134
2029,SSA,Plastic Waste,0.0059633314284811
2029,EUR,Plastic Waste,0.521521436280415
