Material,Time,value
PP,2050,0.6
PP,2051,0.6
PP,2052,0.6
PP,2053,0.6
PP,2054,0.6
PP,2055,0.6
PP,2056,0.6
PP,2057,0.6
PP,2058,0.6
PP,2059,0.6
PP,2060,0.6
PP,2061,0.6
PP,2062,0.6
PP,2063,0.6
PP,2064,0.6
PP,2065,0.6
PP,2066,0.6
PP,2067,0.6
PP,2068,0.6
PP,2069,0.6
PP,2070,0.6
PP,2071,0.6
PP,2072,0.6
PP,2073,0.6
PP,2074,0.6
PP,2075,0.6
PP,2076,0.6
PP,2077,0.6
PP,2078,0.6
PP,2079,0.6
PP,2080,0.6
PP,2081,0.6
PP,2082,0.6
PP,2083,0.6
PP,2084,0.6
PP,2085,0.6
PP,2086,0.6
PP,2087,0.6
PP,2088,0.6
PP,2089,0.6
PP,2090,0.6
PP,2091,0.6
PP,2092,0.6
PP,2093,0.6
PP,2094,0.6
PP,2095,0.6
PP,2096,0.6
PP,2097,0.6
PP,2098,0.6
PP,2099,0.6
PP,2100,0.6
PS,1950,0.2
PS,1951,0.2
PS,1952,0.2
PS,1953,0.2
PS,1954,0.2
PS,1955,0.2
PS,1956,0.2
PS,1957,0.2
PS,1958,0.2
PS,1959,0.2
PS,1960,0.2
PS,1961,0.2
PS,1962,0.2
PS,1963,0.2
PS,1964,0.2
PS,1965,0.2
PS,1966,0.2
PS,1967,0.2
PS,1968,0.2
PS,1969,0.2
PS,1970,0.2
PS,1971,0.2
PS,1972,0.2
PS,1973,0.2
PS,1974,0.2
PS,1975,0.2
PS,1976,0.2
PS,1977,0.2
PS,1978,0.2
PS,1979,0.2
PS,1980,0.2
PS,1981,0.2
PS,1982,0.2
PS,1983,0.2
PS,1984,0.2
PS,1985,0.2
PS,1986,0.2
PS,1987,0.2
PS,1988,0.2
PS,1989,0.2
PS,1990,0.2
PS,1991,0.2
PS,1992,0.2
PS,1993,0.2
PS,1994,0.2
PS,1995,0.2
PS,1996,0.2
PS,1997,0.2
PS,1998,0.2
PS,1999,0.2
PS,2000,0.2
PS,2001,0.2
PS,2002,0.2
PS,2003,0.2
PS,2004,0.2
PS,2005,0.2
PS,2006,0.2
PS,2007,0.2
PS,2008,0.2
PS,2009,0.2
PS,2010,0.2
PS,2011,0.2
PS,2012,0.2
PS,2013,0.2
PS,2014,0.2
PS,2015,0.2
PS,2016,0.2
PS,2017,0.2
PS,2018,0.2
PS,2019,0.2
PS,2020,0.2
PS,2021,0.21333333333333335
PS,2022,0.22666666666666668
PS,2023,0.24
PS,2024,0.25333333333333335
PS,2025,0.26666666666666666
PS,2026,0.28
PS,2027,0.29333333333333333
PS,2028,0.30666666666666664
PS,2029,0.32
PS,2030,0.33333333333333337
PS,2031,0.3466666666666667
PS,2032,0.36
PS,2033,0.3733333333333333
PS,2034,0.38666666666666666
PS,2035,0.4
PS,2036,0.41333333333333333
PS,2037,0.42666666666666664
PS,2038,0.44
PS,2039,0.4533333333333333
PS,2040,0.4666666666666667
PS,2041,0.48
PS,2042,0.49333333333333335
PS,2043,0.5066666666666666
PS,2044,0.52
PS,2045,0.5333333333333333
PS,2046,0.5466666666666666
PS,2047,0.56
PS,2048,0.5733333333333333
PS,2049,0.5866666666666667
PS,2050,0.6
PS,2051,0.6
PS,2052,0.6
PS,2053,0.6
PS,2054,0.6
PS,2055,0.6
PS,2056,0.6
PS,2057,0.6
PS,2058,0.6
PS,2059,0.6
PS,2060,0.6
PS,2061,0.6
PS,2062,0.6
PS,2063,0.6
PS,2064,0.6
PS,2065,0.6
PS,2066,0.6
PS,2067,0.6
PS,2068,0.6
PS,2069,0.6
PS,2070,0.6
PS,2071,0.6
PS,2072,0.6
PS,2073,0.6
PS,2074,0.6
PS,2075,0.6
PS,2076,0.6
PS,2077,0.6
PS,2078,0.6
PS,2079,0.6
PS,2080,0.6
PS,2081,0.6
PS,2082,0.6
PS,2083,0.6
PS,2084,0.6
PS,2085,0.6
PS,2086,0.6
PS,2087,0.6
PS,2088,0.6
PS,2089,0.6
PS,2090,0.6
PS,2091,0.6
PS,2092,0.6
PS,2093,0.6
PS,2094,0.6
PS,2095,0.6
PS,2096,0.6
PS,2097,0.6
PS,2098,0.6
PS,2099,0.6
PS,2100,0.6
PUR,1950,0.2
PUR,1951,0.2
PUR,1952,0.2
PUR,1953,0.2
PUR,1954,0.2
PUR,1955,0.2
PUR,1956,0.2
PUR,1957,0.2
PUR,1958,0.2
PUR,1959,0.2
PUR,1960,0.2
PUR,1961,0.2
PUR,1962,0.2
PUR,1963,0.2
PUR,1964,0.2
PUR,1965,0.2
PUR,1966,0.2
PUR,1967,0.2
PUR,1968,0.2
PUR,1969,0.2
PUR,1970,0.2
PUR,1971,0.2
PUR,1972,0.2
PUR,1973,0.2
PUR,1974,0.2
PUR,1975,0.2
PUR,1976,0.2
PUR,1977,0.2
PUR,1978,0.2
PUR,1979,0.2
PUR,1980,0.2
PUR,1981,0.2
PUR,1982,0.2
PUR,1983,0.2
PUR,1984,0.2
PUR,1985,0.2
PUR,1986,0.2
PUR,1987,0.2
PUR,1988,0.2
PUR,1989,0.2
PUR,1990,0.2
PUR,1991,0.2
PUR,1992,0.2
PUR,1993,0.2
PUR,1994,0.2
PUR,1995,0.2
PUR,1996,0.2
PUR,1997,0.2
PUR,1998,0.2
PUR,1999,0.2
PUR,2000,0.2
PUR,2001,0.2
PUR,2002,0.2
PUR,2003,0.2
PUR,2004,0.2
PUR,2005,0.2
PUR,2006,0.2
PUR,2007,0.2
PUR,2008,0.2
PUR,2009,0.2
PUR,2010,0.2
PUR,2011,0.2
PUR,2012,0.2
PUR,2013,0.2
PUR,2014,0.2
PUR,2015,0.2
PUR,2016,0.2
PUR,2017,0.2
PUR,2018,0.2
PUR,2019,0.2
PUR,2020,0.2
PUR,2021,0.21333333333333335
PUR,2022,0.22666666666666668
PUR,2023,0.24
PUR,2024,0.25333333333333335
PUR,2025,0.26666666666666666
PUR,2026,0.28
PUR,2027,0.29333333333333333
PUR,2028,0.30666666666666664
PUR,2029,0.32
PUR,2030,0.33333333333333337
PUR,2031,0.3466666666666667
PUR,2032,0.36
PUR,2033,0.3733333333333333
PUR,2034,0.38666666666666666
PUR,2035,0.4
PUR,2036,0.41333333333333333
PUR,2037,0.42666666666666664
PUR,2038,0.44
PUR,2039,0.4533333333333333
PUR,2040,0.4666666666666667
PUR,2041,0.48
PUR,2042,0.49333333333333335
PUR,2043,0.5066666666666666
PUR,2044,0.52
PUR,2045,0.5333333333333333
PUR,2046,0.5466666666666666
PUR,2047,0.56
PUR,2048,0.5733333333333333
PUR,2049,0.5866666666666667
PUR,2050,0.6
PUR,2051,0.6
PUR,2052,0.6
PUR,2053,0.6
PUR,2054,0.6
PUR,2055,0.6
PUR,2056,0.6
PUR,2057,0.6
